src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.56.103,192.168.56.101,39868,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 18:51,91259585,307.2334812830893,3.0791286197499144,1.6327052111841183,1.446423408565796,149,132,13866,14172,128,66,93.06040268456375,30.35322880957978,132,66,107.36363636363636,31.783422572360312,132,66,99.77935943060498,31.843719822224934,1014.0224921163613,2980,2640,20,66,325927.08928571426,2422254,0,627525.9696286474,89241680,2422254,0,602984.3243243244,745744.5814861563,91217861,2422489,300,696319.5496183207,771183.7584407772,0,0,0,0,1,0,0,0,0,0,0,0.8859060402684564,99.77935943060498,112,5381,1352267,17618,441032.35714285716,392271.3313647305,1312580,5384,426349.05,385030.42361863755,0,0,0,0,0,0,93.06040268456375,107.36363636363636,0,149,132,13866,14172,benign
192.168.56.101,192.168.56.103,6633,39866,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,18/02/2025 18:51,91002174,543.4155891704302,5.538329227167694,2.747187116650642,2.791142110517052,250,254,25524,23928,132,66,102.096,32.78314786593868,128,66,94.20472440944881,30.20072966284332,132,66,98.11904761904762,31.75422910038342,1008.3310657596372,5000,5080,20,137,180918.83499005964,1211260,0,336610.8568,89854231,1250722,255.00000000000003,360860.3654618474,406343.29942680144,90979114,1211910,0,359601.24110671936,403831.1089306509,0,0,0,0,1,0,0,0,0,0,0,1.016,98.11904761904762,4622,736,197287,2182,106609.90909090909,59401.76415570431,1017920,5751,128624.72222222222,223455.29942419395,0,0,0,0,0,0,102.096,94.20472440944881,0,250,254,25524,23928,benign
192.168.56.101,192.168.56.103,6633,39850,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,18/02/2025 18:51,90473531,300.5519923832751,3.0285100732942545,1.4368843413439893,1.5916257319502651,130,144,13908,13284,132,66,106.98461538461538,31.878612221358747,126,66,92.25,29.764702249476645,132,66,99.24087591240875,31.652775283920736,1001.8981831743833,2600,2880,20,81,331404.87545787543,2218420,3,587439.9377699823,88923416,2218806,165,689328.8062015504,690925.0930719718,90473265,2218420,383,632680.1748251749,684747.7977917065,0,0,0,0,1,0,0,0,0,0,0,1.1076923076923078,99.24087591240875,2008,670,841309,8679,480203.1176470588,309934.2273887235,1027617,15548,346887.9285714286,264725.4122189536,0,0,0,0,0,0,106.98461538461538,92.25,0,130,144,13908,13284,benign
192.168.56.101,192.168.56.103,6633,39824,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,18/02/2025 18:51,91863933,300.96686585365336,3.037100534330486,1.4477934446808411,1.589307089649645,133,146,14172,13476,132,66,106.55639097744361,31.985996356449583,126,66,92.30136986,29.77112922,132,66,99.09677419354838,31.657802216942923,1002.2164412070762,2660,2920,20,82,330445.8021582734,2186557,3,588845.3247,89770653,2217927,182,680080.7045454546,690369.3786709374,91839921,2186557,490,633378.7655172413,689282.8755259215,0,0,0,0,1,0,0,0,0,0,0,1.0977443609022557,99.09677419354838,5902,112,804047,2143,510136.25,244708.2777299585,1027260,10019,512748.65,278710.1492,0,0,0,0,0,0,106.55639097744361,92.30136986,0,133,146,14172,13476,benign
192.168.56.103,192.168.56.101,39840,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 18:51,91966668,126.8938002625038,1.293947063516534,0.6524102841259836,0.6415367793905505,60,59,5220,6450,126,66,87,28.61817604250837,132,66,109.32203389830508,31.026200343059482,132,66,98.06722689,31.855432657379758,1014.7685897888567,1200,1180,20,21,779378.5423728813,3564426,0,1240297.4547855388,88531216,3565553,0,1500529.0847457626,1358830.1383818446,90267863,3566066,274,1556342.4655172413,1379332.7192925722,0,0,0,0,1,0,0,0,0,0,0,0.9833333333333333,98.06722689,112,6769,1948211,1620003,1768155.875,89075.32165874775,2014984,628297,1669786.6315789474,291929.75326937286,0,0,0,0,0,0,87,109.32203389830508,0,60,59,5220,6450,benign
192.168.56.101,192.168.56.103,6633,39894,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,18/02/2025 18:52,91696267,363.4826268336529,3.6860824443376736,1.8103245140829995,1.8757579302546743,166,172,17274,16056,132,66,104.06024096385542,32.50147332993745,128,66,93.34883720930233,30.258486198420616,132,66,98.60946746,31.833723405694197,1013.3859458702426,3320,3440,20,96,272095.7477744807,2176725,0,507193.7546231681,89743698,2176780,170,543901.2,604415.5938075521,91671012,2176805,0,536087.7894736842,604902.7335,0,0,0,0,1,0,0,0,0,0,0,1.036144578313253,98.60946746,2646,407,1141252,66056,853972.9166666666,350733.6970804816,1147451,7035,813329.4,391062.9167669059,0,0,0,0,0,0,104.06024096385542,93.34883720930233,0,166,172,17274,16056,benign
192.168.56.101,192.168.56.103,6633,39900,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,18/02/2025 18:52,90404579,272.4419523,2.732162493671919,1.316305007072706,1.415857486599213,119,128,12786,11844,132,66,107.4453781512605,31.74655344,128,66,92.53125,30.089953031493753,132,66,99.71659919,31.785093261097717,1010.2921536166795,2380,2560,20,75,367498.2886178862,2556070,0,700660.9442043123,90404579,2556538,431,766140.5,854494.2141,89846378,2556449,0,707451.7952755905,847958.5206826201,0,0,0,0,1,0,0,0,0,0,0,1.0756302521008403,99.71659919,501,112,1220331,65338.99999999999,402886.4666666667,255732.1125706525,1512338,6315,493834.5882352941,378283.1853068403,0,0,0,0,0,0,107.4453781512605,92.53125,0,119,128,12786,11844,benign
192.168.56.103,192.168.56.101,39910,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 18:52,90198128,352.6680731112291,3.592092288212456,1.8403929624792215,1.7516993257332347,166,158,15460,16350,130,66,93.13253012048193,29.88845571729586,132,66,103.48101265822785,32.580906406447056,132,66,98.17901234567901,31.655924946362315,1002.097584209724,3320,3160,20,75,279251.1702786378,2082866,3,499054.73869000206,90198128,2083415,389,546655.3212121212,590288.5300288119,89558340,2082866,275,570435.2866242038,590117.7186762998,0,0,0,0,1,0,0,0,0,0,0,0.9518072289156626,98.17901234567901,112,6777,1028349,270684,734020,243415.29452193427,1423232,65606,495856.03846153844,352843.7604302724,0,0,0,0,0,0,93.13253012048193,103.48101265822785,0,166,158,15460,16350,benign
192.168.56.101,192.168.56.103,6633,39970,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,18/02/2025 18:52,90300688,342.10149096538447,3.2668632602223364,1.6057463482448773,1.6611169119774591,145,150,16326,14566,276,66,112.59310344827587,48.62176276634301,338,66,97.10666666666667,39.138411936215405,338,66,104.7186440677966,44.73066849,2000.8327032461937,2900,3000,20,88,307145.19727891154,2518110,0,623024.6809649612,90300688,2518110,84,627088.1111111111,770222.4059051882,87821839,2519952,0,589408.3154362416,769154.5704251828,0,0,0,0,1,0,0,0,0,0,0,1.0344827586206897,104.7186440677966,6141,458,1419006,53155,1096151.813,391354.8174368464,1356015,8141,600013.5,487118.16210776824,0,0,0,0,0,0,112.59310344827587,97.10666666666667,0,145,150,16326,14566,benign
192.168.56.103,192.168.56.101,39960,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 18:52,90416353,268.77881261147525,2.698626873393135,1.4267330601135837,1.2718938132795512,129,115,11874,12428,126,66,92.04651162790698,29.738357884922383,134,66,108.0695652173913,32.51828161113989,134,66,99.59836065573771,32.09224916282659,1029.9124563289438,2580,2300,20,56,372083.7572016461,2886433,5,702659.5482044336,90416353,2887573,685,706377.7578,839474.9603412441,89361980,2887676,387,783877.0175438597,851569.4270963732,0,0,0,0,1,0,0,0,0,0,0,0.8914728682170543,99.59836065573771,111,7519,1666066,396881,1249794.357142857,284698.14817793225,1671084,17442,1112844.2352941176,425326.04809480533,0,0,0,0,0,0,92.04651162790698,108.0695652173913,0,129,115,11874,12428,benign
192.168.56.103,192.168.56.101,39940,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 18:52,90639784,633.3090996774661,6.0679756253611545,3.1112165933669917,2.9567590319941623,282,268,27444,29959,182,66,97.31914893617021,34.05196678356306,276,66,111.78731343283582,52.254146335006446,276,66,104.36909090909091,44.467067988986976,1977.320136,5640,5360,20,153,165099.78870673952,1811679,0,353150.31041166733,90639784,1812189,0,322561.50889679714,441852.3315964807,88283346,1812080,216,330649.23595505615,440206.1929811946,0,0,0,0,1,0,0,0,0,0,0,0.95035461,104.36909090909091,112,9871,761335,477693,639341.75,96096.10096246102,1550539,71548,674337.0769230769,304751.227,0,0,0,0,0,0,97.31914893617021,111.78731343283582,0,282,268,27444,29959,benign
192.168.56.101,192.168.56.103,6633,39926,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,18/02/2025 18:52,90006143,433.62595817487704,4.399699696052968,2.177629142490863,2.2220705535621055,196,200,20179,18850,132,66,102.95408163265306,32.67609957354572,128,66,94.25,30.309033306920234,132,66,98.55808081,31.802009979574322,1011.3678387409448,3920,4000,20,110,227863.65316455695,2173077,3,462506.47653762024,89690451,2173788,182,459951.0307692308,574748.8172780185,89939317,2174327,609,451956.3668341708,571528.0184836702,0,0,0,0,1,0,0,0,0,0,0,1.0204081632653061,98.55808081,968,1025,1149222,718652,959133.4166666666,113582.3863556452,2153623,808694,1040482.6923076923,333578.7017468833,0,0,0,0,0,0,102.95408163265306,94.25,0,196,200,20179,18850,benign
192.168.56.103,192.168.56.101,39950,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 18:52,90311039,363.2778491231842,3.6540383507269807,1.8713105493116962,1.7827278014152845,169,161,15786,17022,126,66,93.40828402366864,29.830768080529875,134,66,105.72670807453416,33.11883132814485,134,66,99.41818181818182,32.07445367441816,1028.7705785123967,3380,3220,20,77,274501.6382978723,1785452,3,516250.3623036622,89336642,1786209,670,531765.7261904762,620910.2643503164,90242801,1786931,229,564017.5063,622161.1550656409,0,0,0,0,1,0,0,0,0,0,0,0.9526627218934911,99.41818181818182,112,7439,725558,246575,421176.71428571426,137867.04593630807,1507288,55226,462107.125,308111.64772730414,0,0,0,0,0,0,93.40828402366864,105.72670807453416,0,169,161,15786,17022,benign
192.168.56.103,192.168.56.101,39864,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 18:52,90326143,379.4250353410972,3.797350231150687,1.948494579249332,1.8488556519013548,176,167,16556,17716,182,66,94.06818181818181,31.05559365,276,66,106.08383233532935,38.40727432,276,66,99.91836734693878,35.34336834491277,1249.1536859641817,3520,3340,20,83,264111.52923976607,3148990,3,499863.59299078636,89750970,3192110,540,512862.6857142857,604411.6153365576,90257250,3148990,159,543718.3735,605896.6735530935,0,0,0,0,1,0,0,0,0,0,0,0.9488636363636364,99.91836734693878,822,8288,908448,3815,409603.46153846156,236574.64745585885,1395040,72205,564413.6666666666,358256.5242743746,0,0,0,0,0,0,94.06818181818181,106.08383233532935,0,176,167,16556,17716,benign
192.168.56.103,192.168.56.101,39968,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 18:52,90197111,592.7684313525297,5.565588458814385,2.8271415478041195,2.7384469110102647,255,247,25066,28400,182,66,98.29803921568627,34.81679496796911,276,66,114.97975708502024,56.038336313483626,276,66,106.50597609561753,47.22754703926557,2230.441199346042,5100,4940,20,145,180034.15369261478,1968590,0,414120.61718907475,90197111,1969707,0,355106.73622047243,532198.6840272049,89150607,1968590,192,362400.84146341466,530589.3288939435,0,0,0,0,1,0,0,0,0,0,0,0.9686274509803922,106.50597609561753,1026,1285,747965,272622,477057.5,125787.87060000394,1484835,6747,466989.875,303102.87848143966,0,0,0,0,0,0,98.29803921568627,114.97975708502024,0,255,247,25066,28400,benign
