src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.56.101,192.168.56.103,6633,48014,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,84862244,28237.15102,151.6575499,49.51554192,102.1420079,4202,8668,1076570,1319698,1514,66,256.2041885,367.9057571,5046,60,152.2494232,158.1727094,5046,60,186.1902098,251.8316522,63419.18107,84040,173360,20,2155,6594.313933,6019879,-7,87682.78155,84857401,6019886,0,20199.33373,153643.7791,84861647,16652401,0,9791.35191,189041.9421,0,0,0,0,1,0,0,0,0,0,0,2.062827225,186.1902098,500,0,3136499,2377294,2756896.5,379602.5,4895957,1598077,2883418,1232801.885,2804.361111,11.7037037,2097.469208,20.37243402,27372.15937,65243.486,256.2041885,152.2494232,0,4202,8668,1076570,1319698,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48010,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,84633726,31736.52073,146.076518,39.39327922,106.6832388,3334,9029,1175418,1510562,11650,66,352.554889,542.0708336,1806,60,167.3011408,160.6102819,11650,60,217.2595648,323.7901266,104840.0461,66680,180580,20,1855,6846.280294,6655075,-4,86094.25605,84629002,6655075,0,25391.23972,165094.3494,84632968,14630774,0,9374.498006,164882.2535,0,0,0,0,1,0,0,0,0,0,0,2.708158368,217.2595648,500,0,0,0,0,0,4959316,207148,2539590.5,1780518.101,3676.088235,12.35294118,2216.048101,19.83544304,21500.84266,69283.32197,352.554889,167.3011408,0,3334,9029,1175418,1510562,SynFlowFlood
192.168.56.101,192.168.56.103,6633,47996,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:35,710,890140.8451,7042.253521,2816.901408,4225.352113,2,3,318,314,252,66,159,93,194,60,104.6666667,63.16820579,252,60,126.4,81.00765396,6562.24,40,60,20,1,177.5,461,0,190.7753915,0,0,0,0,0,249,249,0,124.5,124.5,0,0,0,0,1,0,0,0,0,0,0,1.5,126.4,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,104.6666667,0,2,3,318,314,SynFlowFlood
192.168.56.103,192.168.56.101,55160,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,1032395,536.6163145,7.74897205,4.843107532,2.905864519,5,3,340,214,74,60,68,5.366563146,74,66,71.33333333,3.771236166,74,60,69.25,5.092887197,25.9375,100,60,20,2,147485,1023294,29,357553.2207,1032395,1023399,596,258098.75,441853.8337,1031476,1029600,1876,515738,513862,0,0,0,0,1,0,0,0,0,0,0,0.6,69.25,42340,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,71.33333333,0,5,3,340,214,SynFlowFlood
192.168.56.103,192.168.56.101,55142,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,90112170,257.590068,2.530179886,1.265089943,1.265089943,114,114,11117,12095,1134,66,97.51754386,109.0643004,443,66,106.0964912,46.43991955,1134,66,101.8070175,83.92999142,7044.24346,2280,2280,20,40,396969.9119,3973593,0,918462.068,89853433,4061172,0,795163.1239,1184579.052,90112023,3973593,27,797451.531,1177880.309,0,0,0,0,1,0,0,0,0,0,0,1,101.8070175,42340,500,2621889,98399,2054462.071,716423.2658,3973593,273181,1918406.824,963386.4965,0,0,303.8333333,4.5,0,860.1730444,97.51754386,106.0964912,0,114,114,11117,12095,SynFlowFlood
192.168.56.103,192.168.56.101,55124,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,90118258,301.5260237,2.962773648,1.50912815,1.453645498,136,131,16751,10422,1134,66,123.1691176,134.5216228,825,66,79.55725191,68.26387512,1134,66,101.7715356,109.4493036,11979.15005,2720,2620,20,101,338790.4436,2592589,0,527161.559,90118258,2592661,0,667542.6519,578503.8994,88752562,2592623,150,682712.0154,578459.7825,0,0,0,0,1,0,0,0,0,0,0,0.963235294,101.7715356,42340,500,1410045,59835,357825.8667,335843.5776,2592589,12302,276647.08,491502.3539,1427.5,4,341,6,2314.439508,1120.549431,123.1691176,79.55725191,0,136,131,16751,10422,SynFlowFlood
192.168.56.103,192.168.56.101,55128,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,90315732,270.1301253,2.679488885,1.361888979,1.317599906,123,119,11955,12442,1134,66,97.19512195,105.3240959,437,66,104.5546218,44.30313787,1134,66,100.8140496,81.34470659,6616.96129,2460,2380,20,44,374754.0747,2901300,0,793974.0214,90315732,2942847,0,740292.8852,998527.7375,87826770,2901300,27,744294.661,990303.7363,0,0,0,0,1,0,0,0,0,0,0,0.967479675,100.8140496,42340,500,1290584,118172,534788.9167,388097.4707,1275935,14565,468753.8421,378613.2473,0,0,228.7142857,4.285714286,0,443.0430889,97.19512195,104.5546218,0,123,119,11955,12442,SynFlowFlood
192.168.56.103,192.168.56.101,55144,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,90595064,196.2137805,1.942710698,0.993431607,0.949279091,90,86,10834,6942,1134,66,120.3777778,158.3035465,641,66,80.72093023,63.71605821,1134,66,101,123.253711,15191.47727,1800,1720,20,60,517686.08,3258264,3,890593.1377,90595064,3258277,128,1017922.067,1030839.155,87643794,3258293,111,1031103.459,1023206.035,0,0,0,0,1,0,0,0,0,0,0,0.955555556,101,42340,500,2151718,8786,1079520.5,670521.635,3258264,28684,1123444,835839.5961,2515,4,990,7,26439.45208,1875.856215,120.3777778,80.72093023,0,90,86,10834,6942,SynFlowFlood
192.168.56.103,192.168.56.101,55066,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,90668416,262.0096506,2.613920155,1.323503876,1.290416279,120,117,11520,12236,1134,66,96,105.0918646,437,66,104.5811966,43.89969907,1134,66,100.2362869,81.00525502,6561.851341,2400,2340,20,42,384188.2034,2879864,0,811377.3594,90668416,2879864,0,761919.4622,1019723.332,87922770,2922343,26,757954.9138,1008514.164,0,0,0,0,1,0,0,0,0,0,0,0.975,100.2362869,42340,500,1622686,182587,717331,505123.0313,1664542,77029,574706.0476,421798.3305,0,0,210.25,4,0,461.6459242,96,104.5811966,0,120,117,11520,12236,SynFlowFlood
192.168.56.103,192.168.56.101,59242,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,90001768,221.1845438,2.099958747,1.066645713,1.033313034,96,93,10630,9277,1134,66,110.7291667,154.6312468,340,66,99.75268817,39.7093353,1134,66,105.3280423,113.8033127,12951.19398,1920,1860,20,40,478732.8085,4955193,0,1313615.209,90001768,4955268,0,947387.0316,1739979.788,88648930,4955212,25,963575.3261,1746676.601,0,0,0,0,1,0,0,0,0,0,0,0.96875,105.3280423,42340,500,3176372,60368,878146,1045645.01,2257614,14204,681805.1818,769781.5136,0,0,0,0,0,0,110.7291667,99.75268817,0,96,93,10630,9277,SynFlowFlood
192.168.56.103,192.168.56.101,59228,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,90004564,203.2119171,2.066561869,1.05550203,1.011059839,95,91,9220,9070,1134,66,97.05263158,113.1510745,344,66,99.67032967,40.84386108,1134,66,98.33333333,85.77375007,7357.136201,1900,1820,20,38,486511.1568,5026696,0,1349129.006,90004564,5026696,0,957495.3617,1770692.28,88671589,5028096,41,985239.8778,1801927.153,0,0,0,0,1,0,0,0,0,0,0,0.957894737,98.33333333,42340,500,3919831,11045,1034931.833,1357954.481,2179969,7115,580116.9231,727463.9922,0,0,198,4,0,409.3767962,97.05263158,99.67032967,0,95,91,9220,9070,SynFlowFlood
192.168.56.103,192.168.56.101,55070,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,3/03/2025 17:35,91091710,295.9654616,2.953067848,1.493000845,1.460067003,136,133,13460,13500,1134,66,98.97058824,97.83193431,437,66,101.5037594,43.19872319,1134,66,100.2230483,75.91559138,5763.177015,2720,2660,20,58,339894.4403,4246047,0,878568.4638,87716395,4246047,0,649751.0741,1122136.052,91091466,4291368,21,690086.8636,1157591.025,0,0,0,0,1,0,0,0,0,0,0,0.977941176,100.2230483,42340,500,3174734,235177,1722674.5,1259033.36,2776013,43171,854327.6923,772971.5626,350,4,203,4,263.8176372,755.0383935,98.97058824,101.5037594,0,136,133,13460,13500,SynFlowFlood
